"","V1","V2","V3","V4"
"1",112547.087314154,102166.347123127,79660.5632434396,104684.449991397
"2",123526.924716215,97585.4692495434,90632.1644997666,95581.4581687062
"3",103737.719396519,113804.149776834,117672.805255689,123605.998367272
"4",100126.24386076,91543.8204461889,107776.966501261,97427.2843956561
"5",133839.019961338,102035.26704315,90072.2962300186,109200.138498312
"6",122831.740294249,91203.9651761548,117130.19375411,103976.187450137
"7",102647.017745241,114185.439541225,96386.7609175824,78191.7954054405
"8",113359.454160612,104999.046153178,93092.9185604608,97364.6964466646
"9",114022.661233436,97032.8860831769,99037.6578079881,106724.724204793
"10",125547.137322296,73547.1984254398,101900.954688452,110939.718184739
"11",99586.9225481268,113203.032321282,102214.651371549,96988.4464357596
"12",103722.497357593,97099.2660441503,104332.098761964,94662.0511269908
"13",96810.0295057024,90662.3575501868,102828.873013806,120964.464552882
"14",106024.681275033,102642.098009749,100319.011433386,96215.1206949775
"15",108949.492078771,88297.209940132,94848.693692187,109191.106425324
"16",108866.55054882,100168.30348308,120066.565119056,100628.802574234
"17",107450.949254037,117564.714365841,97554.8755969829,92257.5456288708
"18",108329.912542782,106854.442393122,100477.146312318,112192.13358392
"19",111851.950215018,99386.1973327812,85889.1567842263,83912.9451937271
"20",111501.681402755,108645.952816304,99639.1556407741,95364.3057169199
"21",91596.5572469458,102754.586962858,88382.6484639817,94486.1610174196
"22",96286.9339148659,106530.80901579,86360.1584240126,110503.108356091
"23",112084.338468864,121514.853743065,97113.8063845573,98172.358353485
"24",93801.1504834193,116686.408606356,90855.6936996544,110714.208474119
"25",106168.06427463,92350.4470106192,107372.203794938,85565.5977858104
"26",93296.9183794217,94710.9567300159,95585.9238211678,99046.2874518923
"27",114120.861312933,103591.524691239,95363.3879042822,95803.5640537556
"28",105495.059623304,81566.0344330464,110685.11365131,93035.4421641125
"29",81371.2416195428,104649.524253644,89966.0859196101,70210.4553445021
"30",121404.707525382,96808.9525611845,88679.7497938361,98070.7775457759
"31",93064.3834692416,120267.428961868,94477.4928782491,103101.307396323
"32",112402.150315869,116622.463651225,102055.755927484,81479.4469459584
"33",105051.259381207,96064.7480373695,98461.8520377789,100955.791898381
"34",102169.180604208,92257.4311269416,94397.4093754454,104072.298707419
"35",144585.335438177,81577.0210309303,98888.5192462347,95606.5473567799
"36",112829.254142506,120458.302340826,96401.4297318126,96228.2588743272
"37",106985.141284029,131698.268845841,105253.82762587,97777.5166365081
"38",122143.502364345,102264.069686367,83999.4820601099,97526.7439057184
"39",99419.9333924655,96006.9686873008,107030.669475131,105080.335249112
"40",103768.869554402,98757.9386455533,112781.810482189,101084.442934814
"41",91181.53283049,98160.0886863727,97629.9874469846,104408.056055021
"42",92732.8082974626,88412.5282443978,84975.9840071232,85241.1604829305
"43",93389.2997976281,92315.8750234766,106492.474384201,104648.848436504
"44",106030.33504862,114610.244317263,86327.6814318707,98706.5727815532
"45",125750.251368062,93927.2190455729,95506.0308552122,102786.765329971
"46",100257.815874941,118622.680275282,113545.467219227,114689.709053777
"47",122959.379218571,94531.3135760305,91699.3501356992,117339.90079573
"48",110755.026379246,102179.610679441,101045.848861146,110223.646957053
"49",121710.726469867,101979.942235346,93756.8953912594,109668.35823672
"50",117387.631915756,108641.069553656,118276.208249263,93816.5520109386
"51",117585.732238853,99483.2929739179,107834.818645295,104707.112718663
"52",101612.321787084,100330.034023264,103758.062318418,114363.933769069
"53",101581.958204504,90529.8852660967,100151.420192476,119552.917668535
"54",113083.332876856,98606.5391533894,97226.6958366003,117311.606361577
"55",123231.567144216,101738.4795054,118536.756494442,98532.5208739706
"56",115058.550817526,120807.477188923,112829.436718739,104365.37789314
"57",119207.911638078,111902.268116381,91400.0474051459,99182.4917686439
"58",108153.177129615,83451.8981908774,102658.175380055,87974.3976182487
"59",103683.613146931,98590.4218678063,105019.155755935,105565.174772473
"60",94353.758855906,109542.124213173,101908.073492174,96277.4866872934
"61",110904.255457466,79096.5687174964,104021.41623914,103255.827486828
"62",96583.7217289131,94517.5585014574,81329.2647715494,104531.97310464
"63",123328.471370988,98803.8439967718,116919.835779971,84344.3013606406
"64",123100.027092526,124931.517361379,96814.9672698709,104568.971170594
"65",125167.288004291,98899.0466488129,109269.622574759,99160.9410046278
"66",126033.223375566,108515.232610515,85926.5360892274,109970.2493482
"67",92153.2569000373,131532.830548915,96291.7777287532,116720.053324312
